TieuDe,DuongDan
Nhật khoe uy lực xuyên thép của đạn pháo điện từ,https://vnexpress.net/nhat-khoe-uy-luc-xuyen-thep-cua-dan-phao-dien-tu-4963855.html
'Thầy bói' gốc Việt ở Australia bị cáo buộc lừa đảo 70 triệu USD,https://vnexpress.net/thay-boi-goc-viet-o-australia-bi-cao-buoc-lua-dao-70-trieu-usd-4963862.html
Ông Trump khó đòi BBC bồi thường 1 tỷ USD,https://vnexpress.net/ong-trump-kho-doi-bbc-boi-thuong-1-ty-usd-4963626.html
Mỹ phát động chiến dịch 'chống khủng bố ma túy' ở Tây bán cầu,https://vnexpress.net/my-phat-dong-chien-dich-chong-khung-bo-ma-tuy-o-tay-ban-cau-4963766.html
"Thái Lan tịch thu hàng trăm sổ đỏ, ôtô của trụ trì ăn chặn từ thiện",https://vnexpress.net/thai-lan-tich-thu-hang-tram-so-do-oto-cua-tru-tri-an-chan-tu-thien-4963799.html
Người Việt bị cáo buộc phóng hỏa gây cháy 10 căn nhà ở Nhật,https://vnexpress.net/nguoi-viet-bi-cao-buoc-phong-hoa-gay-chay-10-can-nha-o-nhat-4963797.html
Nga thành lập Quân chủng Thiết bị không người lái,https://vnexpress.net/nga-thanh-lap-quan-chung-thiet-bi-khong-nguoi-lai-4963802.html
Những cuộc đàm phán bí mật giúp chính phủ Mỹ mở cửa trở lại,https://vnexpress.net/nhung-cuoc-dam-phan-bi-mat-giup-chinh-phu-my-mo-cua-tro-lai-4963539.html
"Tiêm kích Su-30 Nga rơi, hai phi công thiệt mạng",https://vnexpress.net/tiem-kich-su-30-nga-roi-hai-phi-cong-thiet-mang-4963807.html
Nga tập kích tên lửa và UAV khiến Kiev chìm vào bóng tối,https://vnexpress.net/nga-tap-kich-ten-lua-va-uav-khien-kiev-chim-vao-bong-toi-4963771.html
Boeing bồi thường 28 triệu USD cho nạn nhân vụ rơi máy bay 737 MAX,https://vnexpress.net/boeing-boi-thuong-28-trieu-usd-cho-nan-nhan-vu-roi-may-bay-737-max-4963774.html
"Iran yêu cầu Mỹ, Israel bồi thường hậu quả chiến dịch không kích hồi tháng 6",https://vnexpress.net/iran-yeu-cau-my-israel-boi-thuong-hau-qua-chien-dich-khong-kich-hoi-thang-6-4963764.html
