ChuyenMuc,TieuDe,MoTa,ThoiGian,DuongDan,HinhAnh
Thoi Su,Phố cổ Hội An ngập bùn non,"Đà NẵngNgâm nước nhiều ngày do mưa lớn và thủy điện xả lũ, nhiều tuyến phố Hội An phủ dày bùn non khi nước rút, người dân và lực lượng chức năng cấp tập dọn dẹp để sớm khôi phục hoạt động du lịch.",Mới cập nhật,https://vnexpress.net/pho-co-hoi-an-ngap-bun-non-4973041.html,https://i1-vnexpress.vnecdn.net/2025/11/22/44-1763765288.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=zgTjgSAP3ivl-HYz3C1wfQ
Thoi Su,Lũ các sông đang xuống,"Mưa giảm ở Tây Nguyên và Khánh Hòa giúp lũ trên nhiều sông hạ dần nhưng nguy cơ ngập lụt, sạt lở còn cao, số người chết và mất tích tiếp tục tăng.",Mới cập nhật,https://vnexpress.net/lu-cac-song-dang-xuong-4973435.html,https://i1-vnexpress.vnecdn.net/2025/11/22/cuuho-8-1763771448-5474-1763771619.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=BjDmdY_WI8oLGet9NHqLKg
Thoi Su,"55 người chết do mưa lũ, Đăk Lăk thiệt hại nghiêm trọng nhất","Mưa lũ làm 55 người chết ở 6 tỉnh thành, trong đó Đăk Lăk thiệt hại nặng nề nhất khi số người tử vong là 27 - tăng 10 so với chiều qua.",Mới cập nhật,https://vnexpress.net/55-nguoi-chet-do-mua-lu-dak-lak-thiet-hai-nghiem-trong-nhat-4973491.html,https://i1-vnexpress.vnecdn.net/2025/11/22/582645212-1605002514210952-243-7392-5995-1763781173.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=nDt3FCYYdsjVhzLI0B5LLg
Thoi Su,Tình nguyện trồng san hô dưới đáy biển Cô Tô,"Quảng NinhHai năm qua, anh Phạm Văn Đức cùng cộng sự bỏ hàng trăm triệu đồng trồng san hô, xây dựng mô hình du lịch gắn với bảo tồn.",Mới cập nhật,https://vnexpress.net/tinh-nguyen-trong-san-ho-duoi-day-bien-co-to-4965120.html,https://i1-vnexpress.vnecdn.net/2025/11/17/gp014977-1-jpg-1763388981-5974-1763389043.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=bNyzp69r5-chgaQCWrr4iQ
Thoi Su,Dùng drone cứu người giữa sông Sêrêpôk,"Lâm ĐồngÔng Nguyễn Văn Hát, 49 tuổi, đi làm rẫy bị mắc kẹt giữa sông do lũ dâng, được lực lượng xã Cư Jút phối hợp người dân dùng drone cứu.",Mới cập nhật,https://vnexpress.net/dung-drone-cuu-nguoi-giua-song-serepok-4973223.html,
Thoi Su,'Thiếu người tư vấn cho chủ tịch tỉnh lệnh xả lũ thủy điện sớm',"TS Nguyễn Quốc Dũng cho rằng nếu các hồ thủy điện xả lũ sớm sẽ giảm được ngập, tuy nhiên đang thiếu đội ngũ tư vấn cho chủ tịch tỉnh ra quyết định này.",Mới cập nhật,https://vnexpress.net/thieu-nguoi-tu-van-cho-chu-tich-tinh-lenh-xa-lu-thuy-dien-som-4973402.html,https://i1-vnexpress.vnecdn.net/2025/11/21/05d0a1ba18479419cd56-176374004-9621-9756-1763740511.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=QDOHtC3IqxPU1BldUMUf0Q
Thoi Su,"Gia Lai, Khánh Hòa lũ giảm, Đăk Lăk nhiều nơi còn ngập sâu","Gia Lai, Khánh Hòa lũ giảm, người dân dọn dẹp nhà cửa, còn Đăk Lăk còn mưa lớn, nước dâng cao, chính quyền công bố tình trạng thiên tai khẩn cấp.",Mới cập nhật,https://vnexpress.net/gia-lai-khanh-hoa-lu-giam-dak-lak-nhieu-noi-con-ngap-sau-4972100.html,https://i1-vnexpress.vnecdn.net/2025/11/21/z7247789680598-26541603132874b-8649-1360-1763728223.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=2v9CKnHk5t-1sYEpJA6oGg
Thoi Su,"'Muốn tự chủ công nghệ, phải ưu đãi mạnh cho sản phẩm chiến lược'","Đại biểu Trần Anh Tuấn cho rằng sản phẩm công nghệ chiến lược quyết định năng lực tự chủ công nghệ quốc gia nhưng rủi ro lớn, cần ưu đãi đủ mạnh để doanh nghiệp dám đầu tư.",Mới cập nhật,https://vnexpress.net/muon-tu-chu-cong-nghe-phai-uu-dai-manh-cho-san-pham-chien-luoc-4972091.html,https://i1-vnexpress.vnecdn.net/2025/11/21/202511210909134684-z7246585273-1578-7398-1763725466.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=7RQ6lG_lpUzbPwt5N5KUmA
Thoi Su,40 công nhân cao tốc Bắc - Nam mắc kẹt trong lũ,"Đăk LăkNhóm công nhân thi công cao tốc Chí Thạnh - Vân Phong bị cô lập, thiếu lương thực sau nhiều ngày nước lũ dâng cao.",Mới cập nhật,https://vnexpress.net/40-cong-nhan-cao-toc-bac-nam-mac-ket-trong-lu-4972721.html,https://i1-vnexpress.vnecdn.net/2025/11/21/z7248724569708-4c8d4261b17f84c-8878-6308-1763726086.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=0yznFMPQkv7MAWAzbxDGOQ
Thoi Su,Phó thủ tướng yêu cầu thủy điện Đa Nhim hỗ trợ người dân bị lũ quét,"Lâm ĐồngThủy điện Đa Nhim phải tính toán hỗ trợ cho người dân ở xã D'ran bị thiệt hại, ảnh hưởng do xả lũ, theo Phó thủ tướng.",Mới cập nhật,https://vnexpress.net/pho-thu-tuong-yeu-cau-thuy-dien-da-nhim-ho-tro-nguoi-dan-bi-lu-quet-4972651.html,https://i1-vnexpress.vnecdn.net/2025/11/21/pho-thu-tuong-ho-quoc-dung-1-1-2402-6960-1763723737.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=6LBZ-72wI8QVU9aDgxIgJA
Thoi Su,Nhiều người gặp nạn trên cao tốc ở Đồng Nai khi đi cứu trợ miền Trung,"Xe tải chở nhu yếu phẩm ra miền Trung gặp tai nạn liên hoàn trên cao tốc Phan Thiết – Dầu Giây, nhiều người bị thương, chiều 21/11.",Mới cập nhật,https://vnexpress.net/nhieu-nguoi-gap-nan-tren-cao-toc-o-dong-nai-khi-di-cuu-tro-mien-trung-4972471.html,https://i1-vnexpress.vnecdn.net/2025/11/21/z7248458121701-1c0945828af87f3-9266-4532-1763722134.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=fa5nzMf4YJ4Ziidsl97SgQ
Thoi Su,"Nha Trang, Quy Nhơn ngổn ngang sau lũ","Nhiều ôtô hư hỏng nằm trên đường, đồ đạc trong nhà bám đầy bùn đất, người dân Nha Trang và Quy Nhơn tất bật dọn dẹp sau khi lũ rút, ngày 21/11.",Mới cập nhật,https://vnexpress.net/nha-trang-quy-nhon-ngon-ngang-sau-lu-4972054.html,https://i1-vnexpress.vnecdn.net/2025/11/21/z7247789640567-5804c26cff480e58a1a41399d292b6b9-1763719753.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=w8pQU7wuRo4yDbKO5cZ0cg
Thoi Su,Bộ Chính trị giao 4 địa phương chi viện các tỉnh thiệt hại nặng,"Bộ Chính trị giao Hà Nội, TP HCM, Hải Phòng và Quảng Ninh trực tiếp hỗ trợ lương thực, nhu yếu phẩm và nhân lực y tế cho các tỉnh chịu thiệt hại nặng nề do mưa lũ.",Mới cập nhật,https://vnexpress.net/bo-chinh-tri-giao-4-dia-phuong-chi-vien-cac-tinh-thiet-hai-nang-4972214.html,https://i1-vnexpress.vnecdn.net/2025/11/21/nt-46-1763715249-5564-1763715554.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=oSOOECosuIkr-TFCktPRvQ
Thoi Su,"Các tuyến đường đang cấm xe do ngập, sạt lở","Nhiều tuyến huyết mạch từ TP HCM lên Đà Lạt bị chia cắt do sạt lở, trong khi nhiều quốc lộ hướng về miền Trung phải linh hoạt cấm xe vì mưa lũ.",Mới cập nhật,https://vnexpress.net/cac-tuyen-duong-dang-cam-xe-do-ngap-sat-lo-4971933.html,https://i1-vnexpress.vnecdn.net/2025/11/21/top-1763709140.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=eIqj4hvUFfST_yWJBIUykw
Thoi Su,"Quốc lộ 1 qua Khánh Hòa tê liệt, CSGT phải đóng đường","Lũ dâng cao khiến nhiều đoạn quốc lộ 1 qua Khánh Hòa tê liệt, buộc lực lượng chức năng hạn chế xe từ phía Nam và điều tiết phương tiện từ cao tốc ra tuyến tránh.",Mới cập nhật,https://vnexpress.net/quoc-lo-1-qua-khanh-hoa-te-liet-csgt-phai-dong-duong-4972096.html,https://i1-vnexpress.vnecdn.net/2025/11/21/Xetamngungluuthong-1763712797-3788-1763713133.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=C_qDOBhek_O5JeSTVQcsIQ
Thoi Su,"Nước sông Đồng Nai dâng cao, hàng trăm nhà dân ngập sâu","Sau khi nhiều thủy điện thượng nguồn xả tràn điều tiết lũ, các khu dân cư hạ lưu tại Đồng Nai và Lâm Đồng bị ngập nặng.",Mới cập nhật,https://vnexpress.net/nuoc-song-dong-nai-dang-cao-hang-tram-nha-dan-ngap-sau-4971936.html,https://i1-vnexpress.vnecdn.net/2025/11/21/587123092-1163343325983082-905-7708-3412-1763711338.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=TuYVgxBHdM8xYbOI9Md1DA
Thoi Su,"Hàng loạt cầu, đường hư hỏng sau lũ lịch sử","Nhiều cây cầu sập bị sập, đèo sạt lở, đường ray hư hỏng... ở các tỉnh Đăk Lăk, Khánh Hòa, Lâm Đồng sau đợt lũ lịch sử, cơ quan chức năng đang cấp tập khắc phục.",Mới cập nhật,https://vnexpress.net/hang-loat-cau-duong-hu-hong-sau-lu-lich-su-4971811.html,https://i1-vnexpress.vnecdn.net/2025/11/21/z7247804393256-e6ed00a65c6b8bd958ce3ed3cd2dd811-1763711163.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=Dd0co0lb1MQbeGq-vsGspw
Thoi Su,Đèo Sông Pha nối Phan Rang - Đà Lạt thông trở lại,"Khánh HòaCác điểm sạt lở trên đèo Sông Pha (Ngoạn Mục) nối Khánh Hòa và Lâm Đồng đã được xử lý, xe chạy qua từ sáng nay.",Mới cập nhật,https://vnexpress.net/deo-song-pha-noi-phan-rang-da-lat-thong-tro-lai-4971570.html,https://i1-vnexpress.vnecdn.net/2025/11/21/z7247365085594-ec0e70e3e9a17d3-3347-9654-1763703359.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=UFgthDZwBvEipZ0bWPPpnQ
Thoi Su,Phú Thọ muốn xây cao tốc Việt Trì - Hòa Bình,"UBND tỉnh Phú Thọ đề xuất quy hoạch cao tốc Việt Trì - Hòa Bình quy mô 4 làn xe, tốc độ thiết kế 100 km/h, đầu tư trong giai đoạn 2026-2030.",Mới cập nhật,https://vnexpress.net/phu-tho-muon-xay-cao-toc-viet-tri-hoa-binh-4971308.html,https://i1-vnexpress.vnecdn.net/2025/11/21/ct1-1762156941895970788290-176-5856-1929-1763695475.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=lbYhHi0wThMQHw_Mpln40Q
Thoi Su,Phát triển trí tuệ nhân tạo 'vì con người',"Bộ trưởng Nguyễn Mạnh Hùng cho biết dự thảo Luật Trí tuệ nhân tạo có nguyên tắc xuyên suốt là phát triển vì con người, lấy con người làm trung tâm.",Mới cập nhật,https://vnexpress.net/phat-trien-tri-tue-nhan-tao-vi-con-nguoi-4970863.html,https://i1-vnexpress.vnecdn.net/2025/11/21/cdf3f9af3e5fb201eb4e-176369014-2594-4117-1763696011.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=CbNrZs3tKKdatpIgoglqNA
Thoi Su,"43 người chết, thiệt hại hơn 3.000 tỷ đồng do mưa lũ","Lũ các sông Nam Trung Bộ vẫn trên báo động 3 làm 43 người chết, 9 người mất tích và hơn 67.700 nhà dân tại 114 xã phường của Khánh Hòa, Gia Lai, Đăk Lăk bị ngập.",Mới cập nhật,https://vnexpress.net/43-nguoi-chet-thiet-hai-hon-3-000-ty-dong-do-mua-lu-4971213.html,https://i1-vnexpress.vnecdn.net/2025/11/21/cuuho-30-1763697098-1763697118-9853-7989-1763701141.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=P2NLGVqmPlLKlD8POz8o9Q
Kinh Doanh,"Matcha Nhật khan hiếm, nguồn cung Trung Quốc trỗi dậy","Cơn sốt matcha đẩy giá tăng mạnh, khiến nguồn Nhật khan hiếm, trong khi nguồn cung Trung Quốc thành lựa chọn thay thế trong bối cảnh nhu cầu vượt xa khả năng chi trả.",Mới cập nhật,https://vnexpress.net/matcha-nhat-khan-hiem-nguon-cung-trung-quoc-troi-day-4974273.html,https://i1-kinhdoanh.vnecdn.net/2025/11/22/screen-shot-2025-11-22-at-4-14-4646-6963-1763803241.png?w=680&h=408&q=100&dpr=1&fit=crop&s=WjJ0-mh6zyk-lQj32mWz0g
Kinh Doanh,1.500 tiền hiện vật Việt Nam qua các thời kỳ,"TP HCM lần đầu trưng bày hơn 1.500 hiện vật tiền Việt Nam từ 1875, gồm giấy bạc Đông Dương, giấy bạc Cụ Hồ, tiền kháng chiến, phiếu mua hàng đến tiền polyme.",Mới cập nhật,https://vnexpress.net/1-500-tien-hien-vat-viet-nam-qua-cac-thoi-ky-4975773.html,https://i1-kinhdoanh.vnecdn.net/2025/11/22/8ae644914f15c34b9a04-176380537-6728-3259-1763806132.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=sL-yf3JK98pigNeQGQlhCQ
Kinh Doanh,Hãng bay vận chuyển miễn phí hàng cứu trợ đến vùng lũ,"Để hỗ trợ người dân miền Trung - Tây Nguyên, các hãng hàng không đồng loạt vận chuyển hàng cứu trợ miễn phí và đổi chuyến cho khách bị ảnh hưởng bởi lũ.",Mới cập nhật,https://vnexpress.net/hang-bay-van-chuyen-mien-phi-hang-cuu-tro-den-vung-lu-4975410.html,https://i1-kinhdoanh.vnecdn.net/2025/11/22/kho-ng-chi-da-m-ba-o-khai-tha-5379-9359-1763801259.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=vnWujs8rIHBuuJWAtyWXAA
Kinh Doanh,Giá thực phẩm ở Mỹ khó giảm ngay dù ông Trump miễn thuế,"Hàng tồn kho được mua ở giá cao vẫn chưa bán hết, cùng tác động từ thời tiết, dịch bệnh, loại thuế khác khiến giá thực phẩm Mỹ khó giảm.",Mới cập nhật,https://vnexpress.net/gia-thuc-pham-o-my-kho-giam-ngay-du-ong-trump-mien-thue-4974201.html,https://i1-kinhdoanh.vnecdn.net/2025/11/22/us-inflation-reu-1-7055-172856-4530-3900-1763787754.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=4kM_wef_yTwY2OSyCE5X3A
Kinh Doanh,Ngưỡng chịu thuế cho hộ kinh doanh nên như thế nào?,"Mức doanh thu chịu thuế 200 triệu đồng với hộ kinh doanh được đánh giá là bất cập, cần điều chỉnh lên 1 tỷ cho phù hợp hơn với mặt bằng giá, chi phí và mức sống hiện nay.",Mới cập nhật,https://vnexpress.net/nguong-chiu-thue-cho-ho-kinh-doanh-nen-nhu-the-nao-4971349.html,https://i1-kinhdoanh.vnecdn.net/2025/11/22/vanhanh11-1763780395-176378041-3317-6754-1763783241.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=gTflfIWbGcFeZF-QhBXyUA
Kinh Doanh,Hãng dược Mỹ đạt vốn hóa 1.000 tỷ USD nhờ thuốc giảm cân,"Eli Lilly là hãng dược đầu tiên gia nhập nhóm vốn hóa 1.000 tỷ USD, nhờ thuốc chữa tiểu đường và béo phì bán chạy nhất thế giới.",Mới cập nhật,https://vnexpress.net/hang-duoc-my-dat-von-hoa-1-000-ty-usd-nho-thuoc-giam-can-4973438.html,https://i1-kinhdoanh.vnecdn.net/2025/11/22/lilly-1763774328-1763774369-3321-1763774453.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=cgT5PMyyzNhVR7Vwt9Oydw
