ChuyenMuc,TieuDe,MoTa,ThoiGian,DuongDan,HinhAnh
Phap Luat,Dùng dao rọc giấy rạch mặt bạn của chồng vì ghen,"Đồng ThápSau cuộc điện thoại với chồng, Lê Huỳnh Anh, 39 tuổi, đến tiệc nhậu, cầm dao rọc giấy rạch mặt nữ chủ nhà trước mặt nhiều người.",Mới cập nhật,https://vnexpress.net/dung-dao-roc-giay-rach-mat-ban-cua-chong-vi-ghen-4974570.html,https://i1-vnexpress.vnecdn.net/2025/11/22/z72504488715199719714a61679a6a-3552-3935-1763788459.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=qjIjeUEMP5RAAyaMRRCKXg
Phap Luat,Công an xử lý 2 hai người đăng tin 'vỡ đập thủy lợi' sai sự thật,Nhiều người dân vùng lũ Khánh Hòa hoang mang trước thông tin vỡ đập lan truyền trên mạng; công an xác định là sai sự thật.,Mới cập nhật,https://vnexpress.net/cong-an-xu-ly-2-hai-nguoi-dang-tin-vo-dap-thuy-loi-sai-su-that-4973436.html,https://i1-vnexpress.vnecdn.net/2025/11/22/dbed051c45e4c9ba90f5-176377130-7405-2715-1763771521.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=f0JTMH7nUtt1Dpfb2_WJRQ
Phap Luat,Du khách Nhật Bản đánh đồng hương tử vong tại TP HCM,"Nomura Kazuya, quốc tịch Nhật Bản, sắp bị xét xử vì đánh bạn đồng hương tử vong khi cùng đến TP HCM du lịch, xảy ra mâu thuẫn tại căn hộ.",Mới cập nhật,https://vnexpress.net/du-khach-nhat-ban-danh-dong-huong-tu-vong-tai-tp-hcm-4973377.html,https://s4.vnecdn.net/vnexpress/restruct/i/v9739/v2_2019/pc/graphics/no-thumb-5x3.jpg
Phap Luat,Cách mua bảo hiểm y tế online cho hộ gia đình,"Để mua bảo hiểm y tế trực tuyến cho hộ gia đình, bạn cần xác định mình có thuộc nhóm đóng bảo hiểm loại này không, tham khảo mức đóng trước khi quyết định.",Mới cập nhật,https://vnexpress.net/phap-luat-tu-van-cach-mua-bao-hiem-y-te-online-cho-ho-gia-dinh-4971325.html,https://i1-vnexpress.vnecdn.net/2025/11/21/233a2550-1763706821-1763706830-5042-1763706953.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=Wk2W5KFoHtafr_twAjnulw
Phap Luat,Công an truy tìm người xịt sơn lên 3 ôtô,Nghệ AnCông an phường Thành Vinh đang trích xuất camera truy tìm người xịt sơn lên kính 3 ôtô 5 chỗ đậu trong ngõ trên đường Ngư Hải.,Mới cập nhật,https://vnexpress.net/cong-an-truy-tim-nguoi-xit-son-len-3-oto-4973384.html,https://i1-vnexpress.vnecdn.net/2025/11/21/otobixitson-1763737630-8758-1763737740.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=qwOgPCrA0rpDreqny97QpQ
Phap Luat,Vợ chồng chủ Thẩm mỹ viện Mailisa bị bắt,"Bà Phan Thị Mai và chồng Hoàng Kim Khánh, chủ chuỗi 17 chi nhánh Mailisa trên cả nước, bị bắt với cáo buộc buôn lậu.",Mới cập nhật,https://vnexpress.net/vo-chong-chu-tham-my-vien-mailisa-bi-bat-4972892.html,https://i1-vnexpress.vnecdn.net/2025/11/21/B74C26C76B174A92BF3ECD7BDE4114-5203-8441-1763726980.png?w=240&h=144&q=100&dpr=1&fit=crop&s=cyGXlUUImXbjkQ8VwTJk-g
Phap Luat,Cựu bí thư xã chở ma túy thuê bị phạt 18 năm tù,"Nghệ AnÔng Mùa Dua Thái, cựu bí thư, cựu chủ tịch xã Na Ngoi, bị phạt 18 năm tù vì vận chuyển thuê 1,7 kg ma túy tổng hợp để lấy tiền công 50 triệu đồng.",Mới cập nhật,https://vnexpress.net/cuu-bi-thu-xa-cho-ma-tuy-thue-bi-phat-18-nam-tu-4972503.html,https://i1-vnexpress.vnecdn.net/2025/11/21/bicaoThaitaitoa-1763719448-7953-1763719950.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=P_JrWlGnh0LOIwfprjQuEQ
Phap Luat,Bảo vệ nhà hàng sát hại đồng nghiệp từ mâu thuẫn dắt xe cho khách,"Cần ThơBảo vệ Dương Thành Lập, 29 tuổi, đâm đồng nghiệp tử vong do mâu thuẫn trong việc dắt xe cho khách tại nhà hàng hải sản.",Mới cập nhật,https://vnexpress.net/bao-ve-nha-hang-sat-hai-dong-nghiep-tu-mau-thuan-dat-xe-cho-khach-4972436.html,https://i1-vnexpress.vnecdn.net/2025/11/21/BAOVESATHAIDONGNGHIEP-17637177-9267-7460-1763718101.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=-XuhsdePoiVEO1qKTHAIUg
Phap Luat,Cầm dao rình bạn gái trước cửa nhà nghỉ,"An GiangThấy bạn gái vào nhà nghỉ với người khác, Trần Tuấn Vũ nổi cơn ghen, đâm người yêu hàng chục nhát.",Mới cập nhật,https://vnexpress.net/cam-dao-rinh-ban-gai-truoc-cua-nha-nghi-4972220.html,https://i1-vnexpress.vnecdn.net/2025/11/21/vu-1763714080-1763714157-8310-1763714190.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=OrsAou-mZMtTnBAsIVsnxw
Phap Luat,Ba người gia đình bên nội tra tấn bé gái 13 tuổi bị bắt,"Thái NguyênBà nội của bé gái 13 tuổi cùng hai người khác bị bắt, sau khi túm tóc nạn nhân đánh liên tục bằng gậy gỗ, sống dao, chổi, chảo... trong suốt nhiều giờ.",Mới cập nhật,https://vnexpress.net/ba-nguoi-gia-dinh-ben-noi-tra-tan-be-gai-13-tuoi-bi-bat-4972103.html,https://i1-vnexpress.vnecdn.net/2025/11/21/bgibtratn-1763715420-6755-1763715432.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=c8JPB_AVv4EuaVRKLTnsKA
Giai Tri,Hoa hậu Jamaica chưa hồi phục sau cú ngã ở Miss Universe,"Thái LanHoa hậu Jamaica - Gabrielle Henry - chưa có dấu hiệu hồi phục, vẫn ở phòng hồi sức cấp cứu (ICU) sau cú ngã từ sân khấu Miss Universe.",Mới cập nhật,https://vnexpress.net/hoa-hau-jamaica-chua-hoi-phuc-sau-cu-nga-o-miss-universe-4983081.html,https://i1-giaitri.vnecdn.net/2025/11/23/hoa-ha-u-jamaica-ta-i-miss-uni-9267-8573-1763875741.jpg?w=680&h=408&q=100&dpr=1&fit=crop&s=T_S1MUOAHKiaBNRYEWH40Q
Giai Tri,Liên Bỉnh Phát hôn bạn gái trên Kiss Cam,TP HCMDiễn viên Liên Bỉnh Phát tình tứ với Ngọc Kayla - cựu thành viên nhóm Mắt Ngọc - trên Kiss Cam ở liveshow của Quốc Thiên.,Mới cập nhật,https://vnexpress.net/lien-binh-phat-hon-ban-gai-tren-kiss-cam-4982961.html,https://i1-giaitri.vnecdn.net/2025/11/23/lienbinhphatbangaitop1JPG-1763-5321-7547-1763875187.jpg?w=380&h=228&q=100&dpr=1&fit=crop&s=571A4KIuPr6OshBD5l02eg
Giai Tri,Hậu trường võ thuật của 'Truy tìm long diên hương',"Diễn viên Quang Tuấn bị chấn thương vì thực hiện các màn nhào lộn, đánh đấm trong phim hành động ""Truy tìm long diên hương"".",Mới cập nhật,https://vnexpress.net/hau-truong-vo-thuat-cua-truy-tim-long-dien-huong-4982698.html,https://i1-giaitri.vnecdn.net/2025/11/23/quang-tuan-1-1763868031-176386-8926-5208-1763868293.jpg?w=380&h=228&q=100&dpr=1&fit=crop&s=aDz3KyMEkdjqa1SVU8I1wQ
Giai Tri,Tự sự của Quốc Thiên,,Mới cập nhật,https://vnexpress.net/tu-su-cua-quoc-thien-4974038.html,https://i1-giaitri.vnecdn.net/2025/11/23/quocthien3-1763856459-17638564-3286-5113-1763857862.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=fY4kQqzkab6wXJljywN9QQ
Giai Tri,Tranh về tình người giữa lũ lịch sử ở miền Trung,,Mới cập nhật,https://vnexpress.net/tranh-ve-tinh-nguoi-giua-lu-lich-su-o-mien-trung-4982856.html,https://i1-giaitri.vnecdn.net/2025/11/23/tranh-bao-lu-1-1763870260_1763886231-1763886253.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=j9JLQbjme3Z9LBWEmbVakQ
Giai Tri,Phạm Anh Khoa: Tôi được như hôm nay là nhờ vợ,,Mới cập nhật,https://vnexpress.net/pham-anh-khoa-toi-duoc-nhu-hom-nay-la-nho-vo-4967583.html,https://i1-giaitri.vnecdn.net/2025/11/20/PhmAnhKhoa1-1763606286-5078-1763607849.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=Ko_Bz1yoHGGg09tg6z0lCQ
Giai Tri,Concert của The Weeknd thu hơn một tỷ USD,,Mới cập nhật,https://vnexpress.net/concert-cua-the-weeknd-thu-hon-mot-ty-usd-4982638.html,https://i1-giaitri.vnecdn.net/2025/11/23/the-weeknd-1763864519-17638651-5713-8163-1763866116.jpg?w=300&h=180&q=100&dpr=1&fit=crop&s=mqxtuJzr5jIOVqjnL8DxIg
Giai Tri,18 gương mặt vào chung kết 'Anh trai say hi' mùa hai,"Ca sĩ Vũ Cát Tường, Ngô Kiến Huy, Karik cùng các gương mặt gen Z như Negav, Ryn Lee ghi tên vào chung kết Anh trai say hi 2025.",Mới cập nhật,https://vnexpress.net/18-guong-mat-vao-chung-ket-anh-trai-say-hi-mua-hai-4982680.html,https://i1-giaitri.vnecdn.net/2025/11/23/IMG3722-1763862576-8989-1763862929.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=a5wKCktF89bIh2bGgXKd4w
Giai Tri,Mốt giày lông cừu,"Selena Gomez, Lily-Rose Depp, Katie Holmes chọn kiểu ""giày xấu"" lót lông để giữ ấm trong mùa đông.",Mới cập nhật,https://vnexpress.net/mot-giay-long-cuu-4974374.html,https://i1-giaitri.vnecdn.net/2025/11/22/sao-chuong-giay-lot-long-cuu-1763786188.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=UpLUY6xsGRrJC3oG1rHDdw
Giai Tri,Phạm Băng Băng đoạt Ảnh hậu Kim Mã,"Phạm Băng Băng đoạt danh hiệu Nữ diễn viên xuất sắc tại giải thưởng Kim Mã của Đài Loan (Trung Quốc) với vai chính phim ""Địa mẫu"".",Mới cập nhật,https://vnexpress.net/pham-bang-bang-doat-anh-hau-kim-ma-4978424.html,https://i1-giaitri.vnecdn.net/2025/11/23/pha-m-ba-ng-ba-ng-1763831816-1-4243-7171-1763832472.png?w=220&h=132&q=100&dpr=1&fit=crop&s=x-LsaKBFfZlNv4lUF3CKag
Giai Tri,Chiến thắng ồn ào của Miss Universe 2025,"Người đẹp Mexico Fátima Bosch bị cho chiến thắng vương miện Hoa hậu Hoàn vũ 2025 nhờ ""gia thế giàu có"".",Mới cập nhật,https://vnexpress.net/chien-thang-on-ao-cua-miss-universe-2025-4975118.html,https://i1-giaitri.vnecdn.net/2025/11/22/chung-ke-t-miss-universe-2025-6927-4924-1763809746.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=TFUvpRdLiHF-030wz6jhgg
Giai Tri,Thái Thùy Linh hát bolero phối jazz,"Thái Thùy Linh thu âm các ca khúc bolero như ""Thành phố buồn"", ""Người yêu cô đơn"" với bản phối jazz do nhạc sĩ Nguyễn Quang thực hiện.",Mới cập nhật,https://vnexpress.net/thai-thuy-linh-hat-bolero-phoi-jazz-4974639.html,https://i1-giaitri.vnecdn.net/2025/11/22/thuy-linh-1763791789-176379181-8916-8139-1763793457.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=DDjerU_O7o0lQnfqyV341Q
Giai Tri,Truyện Superman trên căn gác cũ giá hơn 9 triệu USD,"MỹBản sao cuốn ''Superman #1'' được phát hiện trong gác xép cũ đạt 9,12 triệu USD ở cuộc đấu giá của Heritage Auctions.",Mới cập nhật,https://vnexpress.net/truyen-superman-tren-can-gac-cu-gia-hon-9-trieu-usd-4974862.html,https://i1-giaitri.vnecdn.net/2025/11/22/bia-truyen-jpg-1763799690-1763-9302-4930-1763801725.png?w=220&h=132&q=100&dpr=1&fit=crop&s=y6cy8EOR5xG1BopXsU0cFw
Giai Tri,"Hòa Minzy, Quốc Thiên song ca hit 'Bắc Bling'","TP HCMHòa Minzy bất ngờ xuất hiện trên sân khấu ""Skynote 2025 - The reflection” song ca cùng Quốc Thiên, khiến gần 10.000 khán giả phấn khích.",Mới cập nhật,https://vnexpress.net/hoa-minzy-quoc-thien-song-ca-hit-bac-bling-4977921.html,https://i1-giaitri.vnecdn.net/2025/11/22/snapedit1763818867864-17638188-6092-9157-1763818967.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=MZq7N3ELP1j_CuqU7y9Klg
Giai Tri,Nhà sản xuất phim 'Chốt đơn': Bế tắc khi dùng AI thay Thùy Tiên,"Nhà sản xuất ""Chốt đơn"" nói bế tắc khi dùng AI thay nhân vật của hoa hậu Thùy Tiên trong phim ""Chốt đơn"" vì cô vướng lao lý.",Mới cập nhật,https://vnexpress.net/nha-san-xuat-phim-chot-don-be-tac-khi-dung-ai-thay-thuy-tien-4975383.html,https://i1-giaitri.vnecdn.net/2025/11/22/thuy-tien-ai-1763803827-176380-1854-4136-1763804150.jpg?w=220&h=132&q=100&dpr=1&fit=crop&s=hZVNljJJl-l0HicPHZAhDQ
Giai Tri,Phong cách thời trang của Hoàng hậu Thái Lan,Hoàng hậu Thái Lan Suthida có phong cách tao nhã với những bộ váy thiết kế hài hòa nét hiện đại và truyền thống.,Mới cập nhật,https://vnexpress.net/phong-cach-thoi-trang-cua-hoang-hau-thai-lan-4971512.html,https://i1-giaitri.vnecdn.net/2025/11/21/hoang-hau-thai-lan-gay-sot-1763700644.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=N5SUTfNW9_8QrKLFMjjI_A
Giai Tri,Triển lãm chân dung kinh điển màn ảnh Việt,"TP HCMChân dung nghệ sĩ Chánh Tín trong ""Ván bài lật ngửa"", Thế Anh ""Mối tình đầu"" và loạt phim kinh điển được trưng bày ở triển lãm điện ảnh 50 năm.",Mới cập nhật,https://vnexpress.net/trien-lam-chan-dung-kinh-dien-man-anh-viet-4972228.html,https://i1-giaitri.vnecdn.net/2025/11/21/trien-lam-1-jpg-1763718979-1763718986.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=l-KctZstjj_QicG3vSiHIA
Giai Tri,'Quán Kỳ Nam' - chuyện tình thời bao cấp,"""Quán Kỳ Nam"" khai thác mối tình vượt tuổi tác giữa chàng dịch giả và một góa phụ ở khu cư xá giữa lòng Sài Gòn những năm 1980.",Mới cập nhật,https://vnexpress.net/giai-tri/phim/thu-vien-phim/ky-nam-inn-855,https://i1-giaitri.vnecdn.net/2025/11/22/quankynam2-1763823713-17638237-9298-1685-1763823796.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=I7xSD5EGwJ_7NoVRC_mEJA
Giai Tri,Tranh tự họa của Frida Kahlo giá gần 55 triệu USD,"Bức ""Giấc mơ"" của danh họa Mexico Frida Kahlo giá 54,7 triệu USD (hơn 1.400 tỷ đồng), là tác phẩm đắt nhất do tác giả nữ thực hiện.",Mới cập nhật,https://vnexpress.net/tranh-tu-hoa-cua-frida-kahlo-gia-gan-55-trieu-usd-4973608.html,https://i1-giaitri.vnecdn.net/2025/11/22/ta-c-pha-m-the-dream-176378377-7895-2299-1763784898.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=-XEoZYZFdDDrWAiGyxrhYg
Giai Tri,'Triển Chiêu' Hà Gia Kính mê kinh doanh,"Tài tử Hong Kong Hà Gia Kính, đóng ""Bao Thanh Thiên"", cho biết hiện chuyên tâm bán hàng, không trở lại nghề diễn.",Mới cập nhật,https://vnexpress.net/trien-chieu-ha-gia-kinh-me-kinh-doanh-4973880.html,https://i1-giaitri.vnecdn.net/2025/11/22/tophagiakinh-1763779714-6139-1763779844.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=peTMZ5P39vKlJdAFe4vseQ
Suc Khoe,50% người Việt tăng huyết áp chưa được chẩn đoán,"Một nửa người Việt bị tăng huyết áp nhưng không biết mình mắc bệnh, nhiều trường hợp chỉ được phát hiện khi đã xuất hiện biến chứng tim, thận hoặc đột quỵ.",22' trước,https://vnexpress.net/50-nguoi-viet-tang-huyet-ap-chua-duoc-chan-doan-4984056.html,https://i1-suckhoe.vnecdn.net/2025/11/23/screen-shot-2025-11-23-at-15-4-4600-4517-1763887930.png?w=680&h=408&q=100&dpr=1&fit=crop&s=tkpro83o4zDvB-ZNfK2kKQ
Suc Khoe,Bệnh nhân phổi tắc nghẽn mạn tính tỷ lệ tử vong cao,"Nhiều bệnh nhân phổi tắc nghẽn mạn tính (COPD) đến viện khi bệnh đã nặng, nguy cơ tử vong và biến chứng tim mạch tăng cao.",Mới cập nhật,https://vnexpress.net/benh-nhan-phoi-tac-nghen-man-tinh-ty-le-tu-vong-cao-4977569.html,https://i1-suckhoe.vnecdn.net/2025/11/22/233a5189-1763820017-5490-1763820088.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=99TyjTDARDD5wk0UcqVjLQ
Suc Khoe,6 thí nghiệm lịch sử mở đường cho nghiên cứu lâm sàng vaccine,"6 thí nghiệm về giả thuyết, quan sát, nhóm đối chứng... rải rác trong lịch sử, đã đặt nền móng cho nghiên cứu lâm sàng y khoa và vaccine hiện nay.",Mới cập nhật,https://vnexpress.net/6-thi-nghiem-lich-su-mo-duong-cho-nghien-cuu-lam-sang-vaccine-4984011.html,https://i1-suckhoe.vnecdn.net/2025/11/23/mesmer-h2-1-1763887733-1763887-9897-2770-1763887980.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=0L44QtzIksogKw6W0NhtTg
Suc Khoe,'Xem đào tạo bác sĩ như dạy nghề là nhận định sai lầm về bản chất nghề y',"Đề xuất đưa đào tạo chuyên khoa sức khỏe về Bộ Giáo dục quản lý bị các chuyên gia y tế phản đối, cho rằng xem đào tạo bác sĩ như dạy nghề là sai lầm, cắt đứt mối liên kết sống còn giữa lý thuyết và lâm sàng, đe dọa trực tiếp chất lượng nhân lực ngành y.",Mới cập nhật,https://vnexpress.net/xem-dao-tao-bac-si-nhu-day-nghe-la-nhan-dinh-sai-lam-ve-ban-chat-nghe-y-4973894.html,https://i1-suckhoe.vnecdn.net/2025/11/22/544746064-795450949654479-8847-9381-4898-1763797035.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=vbvF-agkol99dqfJede1oA
Suc Khoe,Người đầu tiên ở Mỹ tử vong do cúm gia cầm H5N5,"Một người ở bang Washington tử vong do nhiễm cúm H5N5, giới chức y tế địa phương ghi nhận đây là ca đầu tiên lây nhiễm chủng virus này từ gia cầm song nguy cơ lây lan cộng đồng thấp.",Mới cập nhật,https://vnexpress.net/nguoi-dau-tien-o-my-tu-vong-do-cum-gia-cam-h5n5-4978315.html,https://i1-suckhoe.vnecdn.net/2025/11/22/ga-1763821437-1763821458-7181-1763822223.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=Br0Mzh97cBGB3dqeiOyvuw
Suc Khoe,Lợi ích khi uống nước chanh thường xuyên,"Nước chanh cung cấp bổ sung vitamin C và các chất dinh dưỡng có tác dụng tăng cường miễn dịch, hỗ trợ giảm cân và giảm hình thành sỏi thận.",Mới cập nhật,https://vnexpress.net/suc-khoe-dinh-duong-nuoc-chanh-4974347.html,https://i1-suckhoe.vnecdn.net/2025/11/22/nuocchanh1-1763785675-17637856-4023-9752-1763785701.png?w=240&h=144&q=100&dpr=1&fit=crop&s=0YcK5AHADVkjAs0DW0bF0Q
Suc Khoe,Cơm nguội có thể để được bao lâu?,"Cơm nguội có thể để ở nhiệt độ phòng trong 2-4 tiếng, ngăn mát từ 2-4 ngày và ngăn đông từ 2-3 tháng, theo chuyên gia.",Mới cập nhật,https://vnexpress.net/com-nguoi-co-the-de-duoc-bao-lau-4963323.html,https://i1-suckhoe.vnecdn.net/2025/11/21/screenshot-2025-11-21-at-23-12-2395-3526-1763741825.png?w=240&h=144&q=100&dpr=1&fit=crop&s=9-dosjWayEHVTmaeYXBFNA
Suc Khoe,"Ca sĩ Bi Rain bị mỡ máu cao dù ăn kiêng, tập tạ",Hàn QuốcBi Rain được yêu cầu tập thể dục nhịp điệu sau khi nhận kết quả mỡ máu cao trong lần kiểm tra sức khỏe định kỳ.,Mới cập nhật,https://vnexpress.net/ca-si-bi-rain-bi-mo-mau-cao-du-an-kieng-tap-ta-4972181.html,https://i1-suckhoe.vnecdn.net/2025/11/22/ps23092600088-1763717017-17637-1569-7050-1763746642.jpg?w=240&h=144&q=100&dpr=1&fit=crop&s=CJGKlAxAZ_GH7yWXf6wNLg
Suc Khoe,5 dấu hiệu bất thường có thể cảnh báo ung thư,"5 dấu hiệu máu bất thường ở phân, nước bọt, nước tiểu, da, âm đạo có thể cảnh báo cơ thể mắc ung thư, theo chuyên gia.",Mới cập nhật,https://vnexpress.net/5-dau-hieu-bat-thuong-co-the-canh-bao-ung-thu-4970817.html,https://i1-suckhoe.vnecdn.net/2025/11/21/tie-u-ma-u-1763688969-17636890-3579-7821-1763689242.png?w=240&h=144&q=100&dpr=1&fit=crop&s=mgohnUdZFdbXDfdZCBQu1Q
